TATA MOTORS VECHILE FILE 
NAME,Discontinued,Type,Special Edition,,Mileage,Type,Colors Available,Price,Fuel Type,Transmission,Seater Number,NCAP Safety,Engine Details
Tata Indigo,Yes,Passenger,No,,18.0 - 25.0 kmpl,Sedan,"Mint White, Moroccan Blue, Jet Silver",?5.30 - ?7.90 Lakh,"Petrol, Diesel",Manual,5,3 stars,"1.4L NA Petrol, 1.4L Turbocharged Diesel"
Tata Aria,Yes,Passenger,No,,15.0 - 18.5 kmpl,SUV,"Arctic Silver, Quartz Black, Sardinia Red",?10.12 - ?15.55 Lakh,Diesel,Manual,7,4 stars,2.2L VARICOR Diesel
Tata Sumo,Yes,Passenger,No,,14.0 - 15.0 kmpl,SUV,"Arctic Silver, Quartz Black, Sardinia Red",?7.50 - ?10.50 Lakh,Diesel,Manual,7,3 stars,3.0L CR4 Diesel
Tata Safari Storme,Yes,Passenger,No,,14.0 - 16.0 kmpl,SUV,"Pearl White, Arctic Silver, Astern Black",?10.99 - ?15.81 Lakh,Diesel,Manual,7,4 stars,2.2L VARICOR Diesel
Tata Manza,Yes,Passenger,No,,14.0 - 18.0 kmpl,Sedan,"Dew White, Jet Silver, Infinity Black",?5.70 - ?8.81 Lakh,"Petrol, Diesel",Manual,5,4 stars,"1.4L NA Petrol, 1.3L Quadrajet Diesel"
Tata Xenon,Yes,Passenger,No,,14.0 - 16.0 kmpl,Pickup,"Pearl White, Phoenix Red, Jet Silver",?8.60 - ?10.50 Lakh,Diesel,Manual,5,3 stars,3.0L CR4 Diesel
Tata Venture,Yes,Passenger,No,,15.0 - 17.0 kmpl,Van,"Pearl White, Phoenix Red, Jet Silver",?4.37 - ?5.71 Lakh,Diesel,Manual,8,3 stars,1.4L Turbocharged Diesel
Tata Indigo eCS,Yes,Passenger,No,,19.0 - 25.0 kmpl,Sedan,"Mint White, Moroccan Blue, Jet Silver",?5.04 - ?6.59 Lakh,"Petrol, Diesel",Manual,5,3 stars,"1.2L Revotron Petrol, 1.4L Turbocharged Diesel"
Tata Vista,Yes,Passenger,No,,17.0 - 22.0 kmpl,Hatchback,"Mint White, Jet Silver, Canyon Orange",?4.90 - ?6.96 Lakh,"Petrol, Diesel",Manual,5,3 stars,"1.2L Revotron Petrol, 1.4L Turbocharged Diesel"
Tata Sierra,Yes,Passenger,No,,10.0 - 12.0 kmpl,SUV,"Pearl White, Astern Black, Phoenix Red",?4.90 - ?6.65 Lakh,Diesel,Manual,5,3 stars,2.0L Turbocharged Diesel
Tata Estate,Yes,Passenger,No,,8.0 - 10.0 kmpl,Station Wagon,"Pearl White, Jet Silver, Canyon Orange",?4.67 - ?5.84 Lakh,Diesel,Manual,5,3 stars,2.0L Turbocharged Diesel
Tata Sumo Gold,Yes,Passenger,No,,14.0 - 15.0 kmpl,SUV,"Arctic Silver, Quartz Black, Sardinia Red",?7.80 - ?10.50 Lakh,Diesel,Manual,7,3 stars,3.0L CR4 Diesel
Tata Sumo Grande,Yes,Passenger,No,,12.0 - 14.0 kmpl,SUV,"Arctic Silver, Quartz Black, Sardinia Red",?6.97 - ?9.61 Lakh,Diesel,Manual,7,3 stars,2.2L VARICOR Diesel
Tata Ace,No,Commercial,No,,20.0 - 25.0 kmpl,Mini Truck,"Pearl White, Jet Silver",?3.99 - ?4.63 Lakh,Diesel,Manual,2,N/A,0.7L IDI Diesel
Tata 407,No,Commercial,No,,10.0 - 12.0 kmpl,Truck,"Pearl White, Jet Silver",?6.14 - ?8.74 Lakh,Diesel,Manual,3,N/A,3.0L CR4 Diesel
Tata Winger,No,Commercial,No,,10.0 - 12.0 kmpl,Van,"Pearl White, Jet Silver",?9.95 - ?12.05 Lakh,Diesel,Manual,"9,12,15",3 stars,2.2L VARICOR Diesel
Tata Ultra,No,Commercial,No,,8.0 - 10.0 kmpl,Truck,"Pearl White, Jet Silver",?13.79 - ?15.88 Lakh,Diesel,Manual,2,N/A,5.0L VARICOR Diesel
Tata Signa,No,Commercial,No,,8.0 - 10.0 kmpl,Truck,"Pearl White, Jet Silver",?16.60 - ?18.70 Lakh,Diesel,Manual,2,N/A,5.0L VARICOR Diesel
Tata Prima,No,Commercial,No,,6.0 - 8.0 kmpl,Truck,"Pearl White, Jet Silver",?22.50 - ?24.70 Lakh,Diesel,Manual,2,N/A,6.7L CR4 Diesel
Tata LPT,No,Commercial,No,,6.0 - 8.0 kmpl,Truck,"Pearl White, Jet Silver",?18.80 - ?20.90 Lakh,Diesel,Manual,2,N/A,5.0L VARICOR Diesel
Tata Magic,No,Commercial,No,,18.0 - 22.0 kmpl,Van,"Pearl White, Jet Silver",?4.47 - ?5.52 Lakh,Diesel,Manual,7,3 stars,2.2L VARICOR Diesel
Tata Yodha,No,Commercial,No,,14.0 - 16.0 kmpl,Pickup,"Pearl White, Jet Silver",?8.18 - ?10.35 Lakh,Diesel,Manual,2,N/A,2.2L VARICOR Diesel
Tata LPT range,No,Commercial,No,,6.0 - 8.0 kmpl,Truck,"Pearl White, Jet Silver",?18.80 - ?20.90 Lakh,Diesel,Manual,2,N/A,5.0L VARICOR Diesel
Tata 709,No,Commercial,No,,10.0 - 12.0 kmpl,Truck,"Pearl White, Jet Silver",?7.00 - ?9.50 Lakh,Diesel,Manual,3,N/A,3.0L CR4 Diesel
Tata 1109,No,Commercial,No,,10.0 - 12.0 kmpl,Truck,"Pearl White, Jet Silver",?9.50 - ?12.00 Lakh,Diesel,Manual,3,N/A,3.0L CR4 Diesel
Tata Hexa Safari,No,Passenger,Yes,,14.0 - 17.6 kmpl,SUV,"Arizona Blue, Tungsten Silver, Pearl White",?13.25 - ?18.82 Lakh,Diesel,"Manual, Automatic","6,7",4 stars,2.2L VARICOR Diesel
Tata Safari Gold,No,Passenger,Yes,,14.0 - 16.0 kmpl,SUV,"Royale Blue, Tropical Mist, Daytona Grey",?15.25 - ?23.46 Lakh,Diesel,"Manual, Automatic","6,7",5 stars,2.0L Turbocharged Diesel
Tata Harrier Dark,No,Passenger,Yes,,14.0 - 17.0 kmpl,SUV,"Orcus White, Telesto Grey, Atlas Black",?14.39 - ?21.09 Lakh,Diesel,"Manual, Automatic",5,5 stars,2.0L Turbocharged Diesel
Tata Tiago NRG,No,Passenger,Yes,,18.5 - 23.0 kmpl,Hatchback,"High Street Gold, Midtown Grey, Downtown Red",?6.34 - ?10.14 Lakh,"Petrol, Diesel",Manual,5,5 stars,"1.2L Revotron Petrol, 1.5L Revotorq Diesel"
Tata Telcoline,Yes,Passenger,No,,10.0 - 12.0 kmpl,Pickup,"Pearl White, Jet Silver",?4.50 - ?5.25 Lakh,Diesel,Manual,2,N/A,2.0L Turbocharged Diesel
Tata Indigo Marina,Yes,Passenger,No,,14.0 - 18.0 kmpl,Estate,"Dew White, Jet Silver, Infinity Black",?5.70 - ?8.81 Lakh,"Petrol, Diesel",Manual,5,4 stars,"1.4L NA Petrol, 1.3L Quadrajet Diesel"
Tata Indigo XL,Yes,Passenger,No,,14.0 - 18.0 kmpl,Sedan,"Dew White, Jet Silver, Infinity Black",?5.70 - ?8.81 Lakh,"Petrol, Diesel",Manual,5,4 stars,"1.4L NA Petrol, 1.3L Quadrajet Diesel"
Tata Spacio,Yes,Passenger,No,,10.0 - 12.0 kmpl,Pickup,"Pearl White, Jet Silver",?4.00 - ?5.50 Lakh,Diesel,Manual,2,N/A,2.0L Turbocharged Diesel
Tata Magic,Yes,Passenger,No,,18.0 - 22.0 kmpl,Van,"Pearl White, Jet Silver",?4.47 - ?5.52 Lakh,Diesel,Manual,7,3 stars,0.8L CR4 Diesel
Tata Indica Vista,Yes,Passenger,No,,17.0 - 22.0 kmpl,Hatchback,"Mint White, Jet Silver, Canyon Orange",?4.90 - ?6.96 Lakh,"Petrol, Diesel",Manual,5,3 stars,"1.2L Revotron Petrol, 1.4L Revotorq Diesel"
